CATEGORIES,COLOR,Sum of MAX,METRIC,TEAM,TOURNAMENT,URL LOGO,Sum of VALUE
ATTACK,#00CF00,100,BALL POSSESSION %,Algeria,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/A9ccQtU0-YFbDUeTh.png,60.6
ATTACK,#00CF00,100,BALL POSSESSION %,Belgium,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/AqUnTDAN-dtrVaP64.png,58.03
ATTACK,#00CF00,100,BALL POSSESSION %,Cabo Verde,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/vRSce5lC-GvK8wiCN.png,39.95
ATTACK,#00CF00,100,BALL POSSESSION %,Canada,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/0U0WjVkl-EqLGVN18.png,60.83
ATTACK,#00CF00,100,BALL POSSESSION %,Colombia,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/Y70aXOTH-C6kVdO5F.png,62.980000000000004
ATTACK,#00CF00,100,BALL POSSESSION %,Ecuador,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/nun1o8jC-IPF97VQ3.png,56.66
ATTACK,#00CF00,100,BALL POSSESSION %,Egypt,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/SKagcEU0-tY1cOGyQ.png,51.89
ATTACK,#00CF00,100,BALL POSSESSION %,Panama,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/WYjftaA6-6yXdouA1.png,52.66
ATTACK,#00CF00,100,BALL POSSESSION %,Senegal,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/xORbTVT0-lQcLqf4g.png,56.120000000000005
ATTACK,#00CF00,100,BALL POSSESSION %,Turkey,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/OIr3e18k-Cfuwb3yH.png,64.22
ATTACK,#00CF00,100,BALL POSSESSION %,United States,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/xfxMId8k-MPdHoKT3.png,59.870000000000005
ATTACK,#00CF00,100,BALL POSSESSION %,Uruguay,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/pvtmslhT-WdZ4jMrq.png,56.59
ATTACK,#00CF00,150,BALL POSSESSION COUNT,Algeria,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/A9ccQtU0-YFbDUeTh.png,95
ATTACK,#00CF00,150,BALL POSSESSION COUNT,Belgium,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/AqUnTDAN-dtrVaP64.png,94.33
